threshold,precision,recall,f1_score
0.797979797979798,0.9984399375975039,0.856760374832664,0.9221902017291066
0.8080808080808082,0.9984126984126984,0.8420348058902276,0.9135802469135803
0.8181818181818182,1.0,0.8246318607764391,0.9038884812912693
0.8282828282828284,1.0,0.8085676037483266,0.8941524796447077
0.8383838383838385,1.0,0.7751004016064257,0.8733031674208145
0.8484848484848485,1.0,0.7456492637215528,0.8542944785276073
0.8585858585858587,1.0,0.7081659973226239,0.829153605015674
0.8686868686868687,1.0,0.6840696117804551,0.8124006359300476
0.8787878787878789,1.0,0.6532797858099063,0.7902834008097166
0.888888888888889,1.0,0.6318607764390897,0.7744052502050862
0.8989898989898991,1.0,0.5542168674698795,0.7131782945736435
0.9090909090909092,1.0,0.48326639892904955,0.6516245487364621
0.9191919191919192,1.0,0.4109772423025435,0.5825426944971537
